skill,role,count,percentage,category
Generative AI,AI Engineer,51,18.96,DS/ML Concepts
Oracle DB,AI Engineer,48,17.84,Databases
CSS,AI Engineer,46,17.1,Web & API
Python,AI Engineer,44,16.36,Programming Languages
Data Pipeline,AI Engineer,35,13.01,Data Engineering
SQL,AI Engineer,34,12.64,Programming Languages
Machine Learning,AI Engineer,25,9.29,DS/ML Concepts
LLM,AI Engineer,25,9.29,DS/ML Concepts
RAG,AI Engineer,8,2.97,DS/ML Concepts
NLP,AI Engineer,5,1.86,DS/ML Concepts
Large Language Models,AI Engineer,4,1.49,DS/ML Concepts
Prompt Engineering,AI Engineer,3,1.12,DS/ML Concepts
AWS,AI Engineer,3,1.12,Cloud Platforms
Deep Learning,AI Engineer,3,1.12,DS/ML Concepts
Azure,AI Engineer,3,1.12,Cloud Platforms
MLflow,AI Engineer,2,0.74,ML/DL Frameworks
Classification,AI Engineer,2,0.74,DS/ML Concepts
Natural Language Processing,AI Engineer,2,0.74,DS/ML Concepts
Reinforcement Learning,AI Engineer,2,0.74,DS/ML Concepts
Slack API,AI Engineer,2,0.74,Misc Tools
Computer Vision,AI Engineer,2,0.74,DS/ML Concepts
Model Deployment,AI Engineer,2,0.74,DS/ML Concepts
PyTorch,AI Engineer,2,0.74,ML/DL Frameworks
Docker,AI Engineer,1,0.37,DevOps & MLOps
A/B Testing,AI Engineer,1,0.37,DS/ML Concepts
Scala,AI Engineer,1,0.37,Programming Languages
Apache Spark,AI Engineer,1,0.37,Data Engineering
GCP,AI Engineer,1,0.37,Cloud Platforms
Hadoop,AI Engineer,1,0.37,Data Engineering
TensorFlow,AI Engineer,1,0.37,ML/DL Frameworks
scikit-learn,AI Engineer,1,0.37,ML/DL Frameworks
FastAPI,AI Engineer,1,0.37,Web & API
Flask,AI Engineer,1,0.37,Web & API
Git,AI Engineer,1,0.37,DevOps & MLOps
GitHub,AI Engineer,1,0.37,DevOps & MLOps
Hugging Face,AI Engineer,1,0.37,ML/DL Frameworks
NumPy,AI Engineer,1,0.37,Data Engineering
Pandas,AI Engineer,1,0.37,Data Engineering
CI/CD,AI Engineer,1,0.37,DevOps & MLOps
ETL,AI Engineer,1,0.37,Data Engineering
Agile,AI Engineer,1,0.37,Methodologies
Cybersecurity,AI Engineer,1,0.37,Security
Angular,AI Engineer,1,0.37,Web & API
Java,AI Engineer,1,0.37,Programming Languages
JavaScript,AI Engineer,1,0.37,Programming Languages
React,AI Engineer,1,0.37,Web & API
Vue.js,AI Engineer,1,0.37,Web & API
Generative AI,AI Research Scientist - Language - MRS AI,49,100.0,DS/ML Concepts
LLM,AI Research Scientist - Language - MRS AI,49,100.0,DS/ML Concepts
Large Language Models,AI Research Scientist - Language - MRS AI,49,100.0,DS/ML Concepts
Recommendation Systems,AI Research Scientist - Language - MRS AI,49,100.0,DS/ML Concepts
Computer Vision,Computer Vision Engineer,35,85.37,DS/ML Concepts
Deep Learning,Computer Vision Engineer,25,60.98,DS/ML Concepts
Machine Learning,Computer Vision Engineer,5,12.2,DS/ML Concepts
Generative AI,Computer Vision Engineer,1,2.44,DS/ML Concepts
Machine Learning,Data Scientist,52,18.64,DS/ML Concepts
Python,Data Scientist,18,6.45,Programming Languages
SQL,Data Scientist,12,4.3,Programming Languages
LLM,Data Scientist,7,2.51,DS/ML Concepts
NLP,Data Scientist,7,2.51,DS/ML Concepts
Power BI,Data Scientist,6,2.15,Visualization & BI
Excel,Data Scientist,6,2.15,Misc Tools
R,Data Scientist,6,2.15,Programming Languages
Databricks,Data Scientist,5,1.79,Data Engineering
AWS,Data Scientist,5,1.79,Cloud Platforms
Statistical Analysis,Data Scientist,4,1.43,DS/ML Concepts
Azure,Data Scientist,4,1.43,Cloud Platforms
MATLAB,Data Scientist,3,1.08,Programming Languages
Agile,Data Scientist,3,1.08,Methodologies
Generative AI,Data Scientist,3,1.08,DS/ML Concepts
Computer Vision,Data Scientist,3,1.08,DS/ML Concepts
MongoDB,Data Scientist,3,1.08,Databases
MySQL,Data Scientist,3,1.08,Databases
PostgreSQL,Data Scientist,3,1.08,Databases
Data Modeling,Data Scientist,2,0.72,Data Engineering
Large Language Models,Data Scientist,2,0.72,DS/ML Concepts
Cybersecurity,Data Scientist,2,0.72,Security
React,Data Scientist,2,0.72,Web & API
Deep Learning,Data Scientist,2,0.72,DS/ML Concepts
Natural Language Processing,Data Scientist,2,0.72,DS/ML Concepts
Tableau,Data Scientist,2,0.72,Visualization & BI
A/B Testing,Data Scientist,1,0.36,DS/ML Concepts
Apache Spark,Data Scientist,1,0.36,Data Engineering
Feature Engineering,Data Scientist,1,0.36,DS/ML Concepts
Salesforce,Data Scientist,1,0.36,Misc Tools
GCP,Data Scientist,1,0.36,Cloud Platforms
Node.js,Data Scientist,1,0.36,Web & API
Jupyter,Data Scientist,1,0.36,Misc Tools
Notebooks,Data Scientist,1,0.36,Misc Tools
Recommendation Systems,Data Scientist,1,0.36,DS/ML Concepts
Oracle DB,Data Scientist,1,0.36,Databases
Data Warehousing,Data Scientist,1,0.36,Data Engineering
ETL,Data Scientist,1,0.36,Data Engineering
Scala,Data Scientist,1,0.36,Programming Languages
Classification,Data Scientist,1,0.36,DS/ML Concepts
Git,Data Scientist,1,0.36,DevOps & MLOps
Hugging Face,Data Scientist,1,0.36,ML/DL Frameworks
Matplotlib,Data Scientist,1,0.36,Visualization & BI
Neural Networks,Data Scientist,1,0.36,DS/ML Concepts
PyTorch,Data Scientist,1,0.36,ML/DL Frameworks
Seaborn,Data Scientist,1,0.36,Visualization & BI
TensorFlow,Data Scientist,1,0.36,ML/DL Frameworks
Machine Learning,Data Scientist with Security Clearance,8,26.67,DS/ML Concepts
Databricks,Data Scientist with Security Clearance,1,3.33,Data Engineering
ETL,Data Scientist with Security Clearance,1,3.33,Data Engineering
Cybersecurity,Data Scientist with Security Clearance,1,3.33,Security
Deep Learning,Data Scientist with Security Clearance,1,3.33,DS/ML Concepts
AWS,Data Scientist with Security Clearance,1,3.33,Cloud Platforms
Computer Vision,Data Scientist with Security Clearance,1,3.33,DS/ML Concepts
NLP,Data Scientist with Security Clearance,1,3.33,DS/ML Concepts
Natural Language Processing,Data Scientist with Security Clearance,1,3.33,DS/ML Concepts
Python,Data Scientist with Security Clearance,1,3.33,Programming Languages
Excel,Generative AI Automation Engineer - Remote Job,98,100.0,Misc Tools
Generative AI,Generative AI Automation Engineer - Remote Job,98,100.0,DS/ML Concepts
Machine Learning,Machine Learning Engineer,71,65.14,DS/ML Concepts
